,Apogee,Drift,Lateral Velocities
0,8127.126194734707,14240.766575750653,86.72022376814822
1,7531.046628038345,14468.772343982148,71.91478360791382
2,7482.58218880634,14594.939960382138,68.69573261509376
3,5771.821728333844,14937.078049166368,53.67002841830697
4,9635.443189297323,13338.535562529562,107.54903729519667
5,5857.471116026098,14939.561587483748,52.939953486078046
6,5272.268500872916,14914.611580842547,52.33651836852739
7,5873.153227548935,14921.870579923214,55.16627119749922
8,5842.462700935378,14945.723376197042,52.26948314959465
9,6115.537205284148,14884.74838716012,55.34111897006485
10,6843.186667671399,14658.344061557465,69.4341843901018
11,5803.906484642068,14915.762034413161,55.0444325521823
12,11138.507920063008,12664.968274859146,126.11659098800084
13,5916.796267043342,14926.922523648731,54.342683599785346
14,6873.803901009088,14752.922163382944,63.21655481370404
15,7737.658569343557,14483.38764186326,71.91969979094655
16,10763.121153887156,12081.700351866884,137.87403338193934
17,5883.552167745756,14924.29079256086,55.2183860358556
18,8594.740722235794,14187.85322231388,82.26161546675169
19,5884.068735587734,14878.637948787795,52.90400545325248
20,6200.106924851019,14865.140893837422,56.471402416732786
21,6350.43098091874,14848.42102979317,58.58784595530743
22,8720.445993025975,14045.565372100677,84.24052055627993
23,6946.677423457167,14654.922279886734,67.09444149121332
24,6072.0994703470715,14904.304496923634,54.911718096423925
25,5776.01334932365,14955.087666437013,52.81086009356907
26,6328.618253709977,14851.515467691113,57.535372322234785
27,6986.199340195438,14588.027550533328,71.81377999437447
28,5919.978227528722,14895.468746389102,53.18267593490493
29,5807.791195780846,14950.638879620627,52.45114640505098
30,11293.35463321297,12139.679891813132,127.44282450131479
31,8148.660339415652,14399.82365817988,78.86045226582046
32,8480.235111499142,13704.371878155505,86.0513585625035
33,5424.803062522823,14908.803261663226,55.22645619064144
34,5773.768375746296,14898.76500969884,60.137583350575916
35,5825.899329116429,14943.270148574033,54.44701311549591
36,9255.443568350222,13941.017520475236,94.75370102483132
37,5928.8496818749045,14917.898344378098,53.77878054728604
38,6126.107067403745,14905.442450089671,54.80165068836745
39,6171.835538695565,14779.612989635008,68.74336902930774
40,6269.809979874752,14867.175282006985,57.779767080576214
41,11263.497542502026,12826.132659648636,115.3185649556249
42,7047.028135130745,14669.051745990288,65.7713257652126
43,11814.441525251805,11849.815374050855,133.36762316117884
44,6167.186080282025,14893.721497781118,55.67317844378736
45,5941.933276523999,14930.894870376169,53.9693423757508
46,1405.296976976155,15016.23505739379,19.07834317110618
47,5790.096415717423,14942.741473284948,52.78579226085187
48,7262.883126322195,14560.226112213511,72.49064948313298
49,6844.694722371017,14724.801979882348,64.19187413906772
