,Apogee,Drift
0,13937.316804503487,9115.066684038808
1,14539.363213359755,7154.5882538722635
2,15192.334726322913,2002.3479814874324
3,14103.998857658713,8673.221728775814
4,12531.21660090185,11973.106937932149
5,14438.852637172358,7511.754530553796
6,15318.251194855839,1721.436181551371
7,13704.435565170796,9679.430048642447
8,12547.77945239788,11923.87869186696
9,13914.07346219614,9133.956367241077
10,14416.756326675228,7693.602842832159
11,15125.818198884706,3567.0122112024424
12,15322.602975434493,1317.5959558601373
13,13870.055182066852,9193.78862376664
14,15020.82473616666,4910.6530918256385
15,14888.00958394411,5639.128506421425
16,12153.407191593067,12374.0237401646
17,13338.49779129107,10568.121916220734
18,14233.4862592022,8050.854510132836
19,15338.037126862991,1452.0081354217598
20,14413.985798099979,7610.543330065519
21,15304.36178300542,289.15971951077967
22,15308.318835985965,1979.0182103769114
23,14742.648555946338,6215.6649429537665
24,13387.404177347038,10441.930902042059
25,15323.19778370694,1522.7945986887435
26,15145.155993633147,3398.479393335585
27,13942.710761210254,9031.670909599383
28,15317.258530853667,291.8793828434194
29,13669.427861120605,9723.1266232514
30,14828.727784386425,5859.865076855395
31,15338.395303480518,740.442062291944
32,15106.94226942403,4491.155267484441
33,13842.327926042866,9275.039057993754
34,15257.715688049751,1145.2030473805337
35,15330.08036643704,340.89540232073773
36,15301.079365125448,211.90670577061218
37,14996.53354071032,4676.311417438961
38,15329.563087459994,1237.4542714853803
39,12988.165946060753,11235.688517799226
40,14285.774195188858,8095.357207461599
41,14028.818505649471,8658.079444701321
42,15145.88007942925,2471.7878896048987
43,14350.954274531268,7643.2657168498545
44,15321.149857133185,1458.700610688387
45,15306.041990499021,1609.5158112087922
46,15322.057669609409,1176.4992239708488
47,14638.330613972628,6745.93801244321
48,14376.441668679248,7645.431769309256
49,15334.331268779642,1177.9950717219986
